participant_id,practice_dtd,dtd_15_85,dtd_60_40,decision_confidence_practice,decision_confidence_15_85,decision_confidence_60_40
PG11,9.5,7.1,9.0,89.75308736,93.898148713,72.712964659
PG12,6.0,4.1,5.3,70.95679295,87.175928752,56.814816792
PG13,10.0,5.8,7.0,98.81689632,97.07736242600001,95.28025925444445
PG14,1.5,3.3,6.1,80.555555555,96.88888903,93.88888941875
PG16,9.0,5.3,6.5,86.0416694925,87.20370398700001,83.620371643
PG17,4.5,3.3,5.1,98.86574568500001,98.675931296,95.212964657
PG18,4.5,3.7,4.7,83.37963069,92.54629912200001,73.731483884
PG19,9.0,9.4,10.1,84.6990761925,85.00000204222222,55.45267568111111
PG20,5.5,4.4,5.2,93.1018546775,91.870370087,85.537040145
PG21,11.0,9.2,8.9,,98.58557477125001,58.75211231511111
PG22,3.0,2.9,3.7,58.0787058225,64.111112664,58.666668645
PG23,6.75,6.5,6.6,83.51851746,88.17592691600001,75.15432412666667
PG24,5.0,4.7,6.0,79.884264205,84.953708651,91.083337289
PG25,8.75,7.7,10.1,91.226853265,91.009260106,51.58436269
PG26,8.75,5.0,8.9,84.00463175,78.15740938500001,65.6995898911111
PG27,5.5,4.6,6.0,83.78103459249999,92.876575556,80.005881444
PG28,6.0,4.3,4.7,74.8379654375,88.231485154,86.259261943
PG32,5.75,3.5,7.8,72.63889401075,99.500004803,85.58642383444445
PG33,7.0,6.2,8.2,83.7268546775,86.592597256,82.435184761
PG34,5.75,5.5,6.9,86.3425925925,82.444446704,78.62140121666667
PG35,9.5,7.4,8.4,82.77777918999999,77.50000106,62.574075768
PG36,1.25,4.0,5.8,71.2268529125,87.648152952,71.88271730444444
PG37,9.5,6.9,4.5,60.74074168333333,70.27777919100001,54.351853971000004
PG38,8.75,7.2,7.8,88.83597883499999,88.126984127,83.121693122
PG39,6.25,7.0,9.5,74.065558745,88.75906625799999,64.29353503777777
PG40,5.0,4.6,6.1,87.87542015,87.398895951,63.67462293999999
PG41,7.5,10.2,10.1,36.85185232,28.54166825625,39.47531068111111
PG42,6.0,3.9,8.5,68.5416680775,60.490741729,44.88683355111111
PG43,3.0,2.0,4.7,97.430555555,99.111111112,93.56995884666668
PG44,6.25,6.2,9.2,70.115741095,72.425927762,58.847738979999995
PG45,9.25,8.7,5.9,81.2962991225,83.018521203,56.63889002
PG46,8.25,8.3,9.6,64.39814920500001,56.67989619857143,28.449075310625
PG47,5.25,4.6,8.3,98.75000141,96.231484589,92.25308924555556
PG48,10.25,8.2,9.6,87.43827725666667,77.879631608,60.80246992111111
PG49,3.25,3.1,4.2,71.1111121675,86.009262934,80.101852417
PG50,3.0,2.4,2.5,72.47685185,90.703703705,97.564814816
PG51,4.25,4.0,8.1,82.5231481475,88.675929882,61.731482611000004
PG52,5.25,7.5,8.1,73.8657439225,82.574077887,52.425926701
PG53,4.25,3.4,4.5,93.265188895,72.723897652,65.49743310599999
PG54,5.0,2.5,1.6,75.85648607249999,80.94444769200001,54.314816087
PG55,5.25,4.4,5.0,76.92129876749999,83.916669069,77.26337448444445
PG56,5.0,4.4,4.9,99.51389454,98.879634715,82.490743708
PG57,4.5,5.1,4.7,99.49074498,98.32304809333333,83.546298696
PG58,3.25,4.0,8.5,86.2499996475,86.462965366,69.83539204555557
PG59,10.25,9.1,9.8,76.72839694666668,79.54629898099999,69.870373054
PG60,5.25,8.3,8.0,84.212965435,80.675929033,55.55555634111111
PG61,6.5,5.5,7.3,64.9305573225,71.259261238,34.2129636696
PG62,7.25,6.1,7.7,90.04983428,86.001718207,69.10500998333333
PG63,5.0,5.6,4.5,64.535137865,70.59574783299999,56.596200429999996
